"Record Type","Campaign","Ad Group","Status","Campaign Type","Networks","Daily Budget","Final URL","Keyword","Match Type","Negative Keyword","Negative Match Type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2","Sitelink Text","Sitelink Final URL","Callout Text","Notes"
"Campaign","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","Search","Google Search","TBD","","","","","","","","","","","","","","","","","","","","","","","Draft only. Review in Google Ads Editor before upload."
"Ad Group","2Marines Website Traffic - Public Hub - Search - 2026Q2","2Marines Brand Search","Paused","","","","https://2marines.us","","","","","2Marines Public Hub","Visit 2Marines","Veteran Support Hub","Mission Ready Support","2Marines Official Site","Connect With 2Marines","Veterans And Partners","Official 2Marines","Connect with 2Marines for veteran support resources and partner pathways.","Explore the public hub for ShieldMate, MarineCoin, and mission updates.","Learn how 2Marines connects veterans, partners, and support technology.","Visit the official 2Marines public hub and find the next mission link.","","","","","","RSA draft row."
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","2Marines Brand Search","Paused","","","","https://2marines.us","2marines","Exact","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","2Marines Brand Search","Paused","","","","https://2marines.us","2 marines","Exact","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","2Marines Brand Search","Paused","","","","https://2marines.us","2marines website","Phrase","","","","","","","","","","","","","","","","","","","",""
"Ad Group","2Marines Website Traffic - Public Hub - Search - 2026Q2","Veteran Support Nonprofit","Paused","","","","https://2marines.us","","","","","Veteran Support Hub","Support Veterans","Mission First Support","Veteran Partner Network","Community Support Hub","2Marines Mission","Find Support Partners","Practical Support Paths","Find mission-focused veteran support resources and partner pathways.","Learn how 2Marines connects support teams around veteran-centered work.","Explore public resources built around support, partnership, and follow-up.","Connect with a mission hub for veterans, families, and partner groups.","","","","","","RSA draft row."
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","Veteran Support Nonprofit","Paused","","","","https://2marines.us","veteran support nonprofit","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","Veteran Support Nonprofit","Paused","","","","https://2marines.us","veteran support organization","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","Veteran Support Nonprofit","Paused","","","","https://2marines.us","veteran community support","Phrase","","","","","","","","","","","","","","","","","","","",""
"Ad Group","2Marines Website Traffic - Public Hub - Search - 2026Q2","ShieldMate Coming Soon","Paused","","","","https://2marines.us/shieldmate","","","","","Explore ShieldMate","ShieldMate Coming Soon","Veteran Support Software","Support Team Workflow","Mission Operations Tool","Organize Support Work","Intake To Follow Up","Built For Partners","Learn how ShieldMate helps organize mission-focused support work.","Explore a support workflow platform for intake, referrals, and follow-up.","ShieldMate is built to help teams coordinate veteran support work.","Visit the ShieldMate public page for product and mission updates.","shieldmate","","","","","RSA draft row."
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","ShieldMate Coming Soon","Paused","","","","https://2marines.us/shieldmate","shieldmate","Exact","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","ShieldMate Coming Soon","Paused","","","","https://2marines.us/shieldmate","veteran support software","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","ShieldMate Coming Soon","Paused","","","","https://2marines.us/shieldmate","nonprofit case management software","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","ShieldMate Coming Soon","Paused","","","","https://2marines.us/shieldmate","referral management software nonprofit","Phrase","","","","","","","","","","","","","","","","","","","",""
"Ad Group","2Marines Website Traffic - Public Hub - Search - 2026Q2","Partner Organizations","Paused","","","","https://2marines.us/shieldmate","","","","","Partner With 2Marines","Built For Partners","Coordinate Referrals","Support Team Clarity","Veteran Partner Tools","Nonprofit Workflow","Mission Partner Hub","Stronger Handoffs","Help partner teams coordinate referrals, documents, and follow-up.","Explore ShieldMate for mission-focused organizations and support teams.","Connect with 2Marines to support veteran-centered partner workflows.","Build clearer support pathways across organizations and community teams.","partners","","","","","RSA draft row."
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","Partner Organizations","Paused","","","","https://2marines.us/shieldmate","veteran nonprofit partnerships","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","Partner Organizations","Paused","","","","https://2marines.us/shieldmate","nonprofit referral coordination","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","Partner Organizations","Paused","","","","https://2marines.us/shieldmate","community partner referrals","Phrase","","","","","","","","","","","","","","","","","","","",""
"Ad Group","2Marines Website Traffic - Public Hub - Search - 2026Q2","MarineCoin Store Support","Paused","","","","https://2marines.us/store","","","","","Shop 2Marines Gear","Visit The Store","Support The Mission","MarineCoin Store","Mission First Gear","2Marines Store","Official Store Route","Gear With Purpose","Visit the 2Marines store for mission-first gear and supporter products.","Support the broader 2Marines ecosystem through the official store route.","Shop supporter products connected to the 2Marines mission.","Explore store items and mission updates through the public 2Marines site.","store","","","","","RSA draft row. Keep MarineCoin copy non-financial."
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","MarineCoin Store Support","Paused","","","","https://2marines.us/store","2marines store","Exact","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","MarineCoin Store Support","Paused","","","","https://2marines.us/store","marinecoin store","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","MarineCoin Store Support","Paused","","","","https://2marines.us/store","shieldmate merch","Phrase","","","","","","","","","","","","","","","","","","","",""
"Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","MarineCoin Store Support","Paused","","","","https://2marines.us/store","veteran support gear","Phrase","","","","","","","","","","","","","","","","","","","",""
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","crypto","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","cryptocurrency","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","token","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","nft","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","investment","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","profit","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","lawsuit","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","lawyer","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","VA login","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Negative Keyword","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Enabled","","","","","","","military recruiting","Phrase","","","","","","","","","","","","","","","","","","","Campaign negative."
"Sitelink","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","2Marines Hub","https://2marines.us","","Public mission hub."
"Sitelink","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","ShieldMate","https://2marines.us/shieldmate","","Support workflow page."
"Sitelink","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","Store","https://2marines.us/store","","Official store route."
"Sitelink","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","MarineCoin","https://2marines.us/marinecoin","","Store support lane."
"Callout","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","","","Veteran-centered mission","Campaign callout."
"Callout","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","","","Partner coordination","Campaign callout."
"Callout","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","","","Mission-first support","Campaign callout."
"Callout","2Marines Website Traffic - Public Hub - Search - 2026Q2","","Paused","","","","","","","","","","","","","","","","","","","","","","","","","Official store route","Campaign callout."
