day,date,brand,platform,format,content_pillar,post_title,headline,body,cta,primary_url,utm_source,utm_medium,utm_campaign,utm_content,qr_url,image_prompt,asset_name,alt_text,approval_status,scheduled_status
1,2026-06-02,2 Marines,Instagram,Square,mission,Local Support Starts Here,Local support starts with connection,2 Marines helps veterans and partners find the next right step across housing employment benefits and community support.,Learn more,https://2marines.us,instagram,social,15day_launch_test,2marines_1_square,,Photo-style image of veterans and community volunteers at an outdoor resource table with clean 2 Marines branding,2marines-local-support-01,Community resource table for veterans,draft,not_staged
2,2026-06-03,2 Marines,Facebook,Link Post,programs,Programs Built Around Veterans,Support that meets veterans where they are,Explore practical programs for veterans and families navigating housing employment benefits and local resources.,View programs,https://2marines.us/programs,facebook,social,15day_launch_test,2marines_2_link-post,,Documentary-style community program scene with warm but realistic lighting,2marines-programs-02,Veteran program support scene,draft,not_staged
3,2026-06-04,2 Marines,LinkedIn,Carousel,partners,Partner Network Spotlight,Stronger referrals need stronger coordination,2 Marines works with service partners to make referrals easier to track and easier to act on.,Partner with us,https://2marines.us/partners,linktree,social,15day_launch_test,2marines_3_carousel,,Professional nonprofit partner meeting with clean branded overlay,2marines-partners-03,Partner team reviewing referral plans,draft,not_staged
4,2026-06-05,2 Marines,YouTube,Short,mission,The Next Right Step,One step can unlock the next one,A short mission story showing how clear navigation can help veterans move from questions to action.,Watch more,https://2marines.us,linktree,social,15day_launch_test,2marines_4_short,,Vertical video thumbnail of a veteran walking into a community support office,2marines-next-step-04,Veteran entering support office,draft,not_staged
5,2026-06-06,2 Marines,TikTok,Vertical Video,community,Community Resource Minute,Resource minute for veterans,A quick reminder to check local support options before a challenge becomes a crisis.,Find resources,https://2marines.us/programs,linktree,social,15day_launch_test,2marines_5_vertical-video,,Candid vertical video frame of a resource checklist on a phone beside coffee,2marines-resource-minute-05,Phone showing veteran resource checklist,draft,not_staged
6,2026-06-07,ShieldMate,LinkedIn,Carousel,product,Approval-Driven Operations,Keep sensitive actions approval-driven,ShieldMate is built for claim-based access audit logs and approval workflows for teams serving veterans.,See ShieldMate,https://2marines.us/shieldmate,linktree,social,15day_launch_test,shieldmate_6_carousel,,Clean SaaS dashboard visual with approvals audit and org roles panels,shieldmate-approvals-01,ShieldMate approval workflow dashboard,draft,not_staged
7,2026-06-08,ShieldMate,Instagram,Square,product,One Workspace For Support Teams,One workspace for veteran support teams,Bring referrals documents conversations and approvals into a calmer operating view.,Explore features,https://2marines.us/features,instagram,social,15day_launch_test,shieldmate_7_square,,Modern web app dashboard on laptop with veteran support workflow cards,shieldmate-workspace-02,ShieldMate workspace dashboard,draft,not_staged
8,2026-06-09,ShieldMate,Facebook,Link Post,trust,Claims First Access,Access should follow verified roles,ShieldMate uses role and organization claims so teams can protect data while moving work forward.,Learn how,https://2marines.us/shieldmate,facebook,social,15day_launch_test,shieldmate_8_link-post,,Security-focused product graphic with shield icon and role labels,shieldmate-claims-03,Role-based access product graphic,draft,not_staged
9,2026-06-10,ShieldMate,YouTube,Short,product,From Intake To Follow-Up,From intake to follow-up in one flow,Show how a veteran request can move from intake to documents to partner coordination.,Watch demo,https://2marines.us/shieldmate,linktree,social,15day_launch_test,shieldmate_9_short,,Vertical product demo thumbnail showing intake checklist and follow-up timeline,shieldmate-intake-flow-04,ShieldMate intake workflow demo,draft,not_staged
10,2026-06-11,ShieldMate,LinkedIn,Single Image,partners,Built For Partner Organizations,Partner teams need clarity without chaos,ShieldMate gives org staff a focused dashboard for clients messages uploads and reporting.,Request info,https://2marines.us/contact,linktree,social,15day_launch_test,shieldmate_10_single-image,,Professional SaaS dashboard image with partner organization metrics,shieldmate-org-dashboard-05,Partner organization dashboard in ShieldMate,draft,not_staged
11,2026-06-12,Marine Coins,Instagram,Square,commerce,Coins With A Mission,Coins with a mission,Marine Coins commerce supports the broader 2 Marines mission while giving supporters a tangible way to participate.,Visit store,https://2marines.us/store,instagram,social,15day_launch_test,marinecoins_11_square,,Product photo concept of commemorative Marine Coins on a clean neutral surface,marinecoins-mission-01,Marine Coins product arrangement,draft,not_staged
12,2026-06-13,Marine Coins,Facebook,Link Post,commerce,Support Through Commerce,Support the mission through commerce,Every product story should connect back to veteran support partner coordination and community impact.,Shop collection,https://2marines.us/store,facebook,social,15day_launch_test,marinecoins_12_link-post,,Realistic storefront product image with mission-focused copy area,marinecoins-commerce-02,Marine Coins storefront product preview,draft,not_staged
13,2026-06-14,Marine Coins,TikTok,Vertical Video,product,Product Detail Moment,A closer look at the details,Highlight craftsmanship symbolism and the mission behind Marine Coins without making unverified claims.,See details,https://2marines.us/store,linktree,social,15day_launch_test,marinecoins_13_vertical-video,,Macro vertical video frame of coin detail with tasteful lighting,marinecoins-detail-03,Close-up detail of Marine Coin,draft,not_staged
14,2026-06-15,Marine Coins,Instagram,Story,commerce,Drop Reminder,Drop reminder,Use this slot for a future approved Marine Coins drop once Shopify products and URLs are final.,Get notified,https://2marines.us/store,instagram,social,15day_launch_test,marinecoins_14_story,,Vertical story design with product placeholder and mission-driven CTA,marinecoins-drop-04,Marine Coins drop reminder story,draft,not_staged
15,2026-06-16,Marine Coins,LinkedIn,Single Image,mission,Commerce That Feeds The Mission,Commerce can support mission operations,Marine Coins is the commerce lane connected to the wider 2 Marines support ecosystem.,Learn more,https://marinecoin.2marines.us/marinecoin,linktree,social,15day_launch_test,marinecoins_15_single-image,,Clean product and mission graphic linking commerce to veteran support,marinecoins-mission-commerce-05,Marine Coins mission commerce graphic,draft,not_staged
